Kabupaten/Kota,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Pacitan,6261804,14880,...,696831,11029812,1405126,166169,7721,385,1688,102000,50953,41982,3586447,1606,71345
Ponorogo,3433387,195000,...,263346,2989075,1241200,83535,305,,7380,,365689,152330,405389,5,25714
Trenggalek,1353541,190060,...,140589,676101,172433,77601,116,20,39264,50,36564,43804,215860,20391,18645
Tulungagung,24694,79,...,12137,22760,9724,767,543,17,1006,146,797,948,7299,54642,743
Blitar,267923,38238,...,18281,47513,67518,450,10,,1777,,4420,901,7374,4626,5829
Kediri,166756,7,...,1810,16454148,26802,307,800,,1400,20,100,,322199,13884,72685
Malang,1416373,408220,...,110963,233056,104553,26112,6227,2722,14836,3476,9060,6656,29779,146505,70052
Lumajang,104785,2103524,...,7207,14886,4561,6131,7,,8211,,5787,6926,8846,5000,15
Jember,199327,153562,...,22818,31702,54131,3421,1339,3250,15132,1717,15118,13605,17821,2898,13496
Banyuwangi,36946,323541,...,13782,26404,23077,1684,33,143,631,79,206,2590,9522,11434,7540
Bondowoso,326895,,...,9750,6677000,75810,150,,20,192,,16800,11600,94000,172,5200
Situbondo,718830,,...,,248850,80,,,,178,,,,,124,2061
Probolinggo,360566,102020,...,108955,479810,112760,4500,25,28,605,1,225281,161722,128759,2251,17312
Pasuruan,405070,16740,...,137448,872639,282692,264004,6020,27887,4412,207953,264495,45166,415341,11105,10410
Sidoarjo,359,,...,122,752,1012,28,4,,25,,297,193,160,772,10796
Mojokerto,262291,10000,...,13135,230258,35316,3879,40,2,213,,4686,5564,35027,1200,336912
Jombang,81374,16651,...,13542,33818,24640,8362,1179,220,1513,,1253,3743,16990,4398,26662
Nganjuk,44746,2655,...,17936,325113,61285,3250,,,314,,4849,3131,17168,4794,4125
Madiun,113969,3000,...,4842,766700,10907,469,,,,,429,977,513,646,591
Magetan,2410052,5200,...,18666,3257690,27388,17374,,,112,,9750,,18312,1240,
Ngawi,91036,,...,5325,76392,77536,12710,440,180,1673,30,11219,510,3364,1154,3917
Bojonegoro,68003,876,...,72278,364639,72192,70925,,6061,2968,1500,32572,52203,57210,1527,17001
Tuban,12702,,...,6183,15940,9583,2634,340,121,1632,161,1669,841,4019,4207,1543
Lamongan,835,,...,840,15356,1914,118,62,,868,26,372,102,377,2120,
Gresik,585,,...,600,4557456,510,,,,30,,8080,400,765950,347192,5750
Bangkalan,1461,225,...,4043,8938,4937,1807,132,3,5583,64,4139,1129,12689,591,1755
Sampang,10742,,...,8031,12121,8523,6243,20,,1569,,9411,3384,7811,29,735
Pamekasan,439418,,...,178357,343600,214529,1500,2500,9,30395,,126167,72499,159516,14,43042
Sumenep,88535,,...,49805,77574,124147,17600,58,30,21989,200,38240,12627,54430,,
Kota Kediri,,,...,,,,,,,,,,,,,
Kota Blitar,,,...,,,,,,,,,,,,,
Kota Malang,415,80,...,500,4195,95,50,160,35,65,50,215,70,305,65,295
Kota Probolinggo,150,,...,8,80,19,,2,,8,,,1,59,,20
Kota Pasuruan,,,...,,,,,,,,,,,,10,
Kota Mojokerto,,,...,,,,,,,,,,,,,
Kota Madiun,,,...,,,,,,,,,,,,,
Kota Surabaya,302,,...,212,268,40,,325,10,552,,6,,11,25,21
Kota Batu,86000,,...,490,33050,5200,75,810,,,,500,,5400,60,600
Jawa Timur,18789872,3584558,...,1938832,49927696,4260240,781855,29218,41143,166221,317473,1249124,645604,6407947,644687,774812
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,
