Kabupaten/Kota,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Pacitan,6432034,14212,...,865422,14059442,1442292,29189,1191,15,1276,50000,106201,36504,3317499,405,34817
Ponorogo,1752802,194369,...,263817,3085453,565961,92328,1805,,7282,,52038,120437,97166,3418,60919
Trenggalek,970274,102445,...,95591,802085,118435,41756,105,20,34026,280,25025,35683,91597,15445,14945
Tulungagung,33369,22,...,5337,23543,15842,735,619,33,602,74,710,670,6750,41621,935
Blitar,45617,16200,...,9014,34832,19178,172,10,,1659,,431,637,4654,9249,2915
Kediri,61252,29002,...,840,4121275,9115,500,6800,,1250,120,436,,328379,22937,18312
Malang,2792797,644405,...,128855,320215,181292,26515,4641,1848,7220,341,15355,15128,82365,121095,65082
Lumajang,205208,2278024,...,10184,24343,9846,20,,,581,,1299,7130,7884,2500,
Jember,106010,128022,...,20865,42463,31873,1158,1137,1550,7623,1029,6323,11311,13662,3597,6752
Banyuwangi,63390,134598,...,13372,40996,21896,184,113,72,636,76,155,2609,3689,33201,30996
Bondowoso,367950,,...,17150,6618000,78680,200,,,261,,19400,13500,104500,89,2308
Situbondo,470531,,...,,133,76,,,,170,,,,,104,50
Probolinggo,367888,102000,...,79062,237700,100293,12500,2,18,594,,164229,135697,109209,7306,22576
Pasuruan,322902,33817,...,195411,783753,443828,73815,3000,55176,6577,130085,263724,58933,705583,55815,26234
Sidoarjo,377,,...,64,1050,504,1,17,,262,,84,,225,795,30483
Mojokerto,213050,,...,2979,194377,28237,225,3,,185,,5,1213,41546,1491,201167
Jombang,48208,16646,...,16918,25869,17852,33364,1042,187,1082,167,29194,2183,10965,3929,15300
Nganjuk,61341,2655,...,12915,335386,55460,3769,10,,,,8572,28375,12123,4782,2451
Madiun,125707,,...,5165,776573,23044,342,,,,,510,2300,477,641,1256
Magetan,729449,5200,...,13476,1150490,25756,17546,,,137,,9500,,18032,1340,36
Ngawi,67741,,...,10277,70267,40050,20,460,20,1111,40,2811,180,1610,903,3996
Bojonegoro,79917,,...,76685,258272,136170,93834,11,126,1235,1,32523,47752,32959,2130,11359
Tuban,6101,,...,5609,15455,8082,3164,74,118,820,100,676,621,2550,3417,841
Lamongan,777,,...,896,15536,1915,162,,,984,31,591,80,600,2115,1265
Gresik,1045,,...,391,4177774,172,,,,9,,2025,410,754530,437210,160200
Bangkalan,471,225,...,800,4499,3914,1410,125,52,5562,52,3667,588,7645,678,1339
Sampang,11351,,...,8963,23033,9080,6725,,,1363,,11098,5104,9527,,2366
Pamekasan,77242,,...,23448,126505,91502,1507,,4,19508,,76475,72533,93495,17,3107
Sumenep,90955,,...,48165,63704,109787,17800,58,30,21979,200,37800,12427,44595,,
Kota Kediri,,,...,,,,,,,,,,,,,
Kota Blitar,,,...,,,,,,,,,,,,,
Kota Malang,385,1030,...,465,3510,115,100,525,65,95,55,305,185,495,400,330
Kota Probolinggo,30,,...,5,12,16,,,1,4,,,,13,55,26
Kota Pasuruan,12,,...,,,,,,,,,,,,13,
Kota Mojokerto,,,...,,,,,,,,,,,,,
Kota Madiun,,,...,,,,,,,,,,,,,
Kota Surabaya,260,,...,28,107,82,,223,22,682,,,,12,5,66
Kota Batu,202400,,...,440,30432,4967,75,710,,,,427,,4375,60,675
Jawa Timur,15708843,3702872,...,1932609,37467084,3595312,459116,22681,59357,124775,182651,871589,612190,5908711,776763,723104
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,
