kabupaten_kota,luas_panen_jahe (m²),luas_panen_kapulaga (m²),luas_panen_keji_beling (m²),luas_panen_kencur (m²),luas_panen_kunyit (m²),luas_panen_laos/lengkuas (m²),luas_panen_lempuyang (m²),luas_panen_lidah_buaya (m²),luas_panen_mahkota_dewa (pohon),luas_panen_mengkudu/pace (pohon),luas_panen_sambiloto (m²),luas_panen_temuireng (m²),luas_panen_temukunci (m²),luas_panen_temulawak (m²),luas_panen_jeruk_nipis (pohon),luas_panen_serai (m²),tahun
Pacitan,7097596.0,62500.0,0.0,996869.0,9404500.0,2043962.0,158261.0,10034.0,1775.0,3277.0,59051.0,141278.0,63111.0,5089387.0,1961.0,34674.0,2022
Ponorogo,2263375.0,225540.0,0.0,212760.0,2919466.0,1230278.0,92555.0,200.0,500.0,21785.0,0.0,355967.0,133868.0,361748.0,124.0,8575.0,2022
Trenggalek,1341184.0,292523.0,0.0,130210.0,814866.0,95568.0,72677.0,130.0,0.0,32408.0,150.0,35617.0,47545.0,220462.0,20579.0,17200.0,2022
Tulungagung,257690.0,60.0,0.0,56088.0,22608.0,11124.0,513.0,12.0,25.0,1109.0,37.0,443.0,412.0,6818.0,27699.0,51.0,2022
Blitar,203375.0,4977.0,0.0,26778.0,48142.0,48332.0,729.0,30.0,0.0,1891.0,0.0,2940.0,562.0,6811.0,18740.0,3411.0,2022
Kediri,140402.0,19007.0,0.0,6325.0,6687948.0,1950.0,200.0,60600.0,8.0,5710.0,100.0,250.0,0.0,163950.0,28570.0,61900.0,2022
Malang,1666552.0,460995.0,0.0,65787.0,315714.0,143231.0,86554.0,9401.0,43395.0,8937.0,91.0,21555.0,9072.0,64163.0,76379.0,59947.0,2022
Lumajang,192718.0,1486500.0,0.0,13672.0,6864.0,187579.0,13365.0,0.0,0.0,11323.0,0.0,4343.0,10792.0,17382.0,1500.0,5.0,2022
Jember,117994.0,88339.0,0.0,23847.0,44811.0,40249.0,6214.0,1803.0,1969.0,7877.0,825.0,19341.0,13288.0,27837.0,3053.0,9790.0,2022
Banyuwangi,79267.0,451781.0,0.0,18776.0,48322.0,31760.0,11639.0,56.0,343.0,1075.0,112.0,285.0,3496.0,15038.0,19515.0,33179.0,2022
Bondowoso,302600.0,0.0,0.0,11982.0,6585300.0,39730.0,150.0,24.0,0.0,65.0,100.0,11400.0,8550.0,73000.0,0.0,2793.0,2022
Situbondo,1132100.0,0.0,0.0,0.0,130850.0,690.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,70.0,2022
Probolinggo,519688.0,52020.0,0.0,116948.0,456019.0,167340.0,9500.0,24.0,141.0,615.0,0.0,197205.0,191812.0,113680.0,3169.0,60300.0,2022
