Kabupaten/Kota,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Pacitan,7097596,62500,...,996869,9404500,2043962,158261,10034,1775,3277,59051,141278,63111,5089387,1961,34674
Ponorogo,2263375,225540,...,212760,2919466,1230278,92555,200,500,21785,,355967,133868,361748,124,8575
Trenggalek,1341184,292523,...,130210,814866,95568,72677,130,,32408,150,35617,47545,220462,20579,17200
Tulungagung,257690,60,...,56088,22608,11124,513,12,25,1109,37,443,412,6818,27699,51
Blitar,203375,4977,...,26778,48142,48332,729,30,,1891,,2940,562,6811,18740,3411
Kediri,140402,19007,...,6325,6687948,1950,200,60600,8,5710,100,250,,163950,28570,61900
Malang,1666552,460995,...,65787,315714,143231,86554,9401,43395,8937,91,21555,9072,64163,76379,59947
Lumajang,192718,1486500,...,13672,6864,187579,13365,,,11323,,4343,10792,17382,1500,5
Jember,117994,88339,...,23847,44811,40249,6214,1803,1969,7877,825,19341,13288,27837,3053,9790
Banyuwangi,79267,451781,...,18776,48322,31760,11639,56,343,1075,112,285,3496,15038,19515,33179
Bondowoso,302600,,...,11982,6585300,39730,150,24,,65,100,11400,8550,73000,,2793
Situbondo,1132100,,...,,130850,690,,,,217,,,,,,70
Probolinggo,519688,52020,...,116948,456019,167340,9500,24,141,615,,197205,191812,113680,3169,60300
Pasuruan,626254,59737,...,139593,1541504,296735,913695,6224,18022,2414,817954,935313,86359,724748,,
Sidoarjo,605,,...,209,1110,1028,52,9,,135,,438,,309,415,885
Mojokerto,297385,,...,8035,371225,102578,5631,5,96,459,,10606,5859,60267,972,534333
Jombang,63356,82,...,23679,27868,18246,16923,575,206,1523,5,9147,8362,19428,20400,10352
Nganjuk,57211,1125,...,28198,278588,57016,2985,,,397,,1795,2555,18336,4606,3650
Madiun,64212,5000,...,4478,805050,12658,815,,,,,425,1168,846,2982,2922
Magetan,1921214,5200,...,23967,3003830,27630,19174,166,100,112,,9250,53,18072,40,
Ngawi,57025,,...,4346,79190,38852,20,565,200,1095,55,1961,715,1484,600,3963
Bojonegoro,73395,,...,79709,332089,63353,64890,1489,2516,3258,9,17788,25801,20412,4878,7611
Tuban,21226,50,...,11626,16315,6683,1706,287,205,765,280,2563,1632,2140,3434,2205
Lamongan,1076,,...,759,14182,2178,120,62,,1018,31,379,106,382,2000,
Gresik,151382,,...,113,6484954,132,200000,,10,30,,2960,1564,1428212,323945,33300
Bangkalan,798,225,...,2563,4297,4510,1361,130,,5540,65,4177,566,7616,651,1418
Sampang,10085,520,...,7804,10135,8749,6268,20,,1325,,9411,3270,8664,,590
Pamekasan,122305,,...,90744,165350,135115,1500,,4,30775,,133261,68306,148015,12,35534
Sumenep,86930,,...,49040,75289,122749,17500,58,30,21862,200,36800,12544,50461,,
Kota Kediri,,,...,,,,,,,,,,,,,
Kota Blitar,,,...,,,,,,,,,,,,,
Kota Malang,664,1930,...,1385,9562,185,190,150,190,310,235,365,175,535,435,315
Kota Probolinggo,127,,...,13,60,18,,2,,14,,,3,52,,12
Kota Pasuruan,46,,...,,,,,,,,,,,,1,
Kota Mojokerto,,,...,,,,,,,,,,,,,
Kota Madiun,,,...,,,,,,,,,,,,,
Kota Surabaya,276,,...,10,98,22,20,43,30,331,1,,,28,,
Kota Batu,81050,,...,430,31900,5180,100,1110,,,,610,,6250,60,775
Jawa Timur,18951163,3218111,...,2156743,40738006,4945410,1705307,93209,69765,167652,879301,1967873,701546,8676533,566720,929760
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,
